"","date_id","T_name","T_irret","T_close","T_settle","TF_name","TF_irret","TF_close","TF_settle","FutYHret","quan90","quan80","quan70","quan60","quan50","quan40","quan30","quan20","quan10","upDown90","upDown80","upDown70","upDown60","position_T90","position_TF90","position_T80","position_TF80","position_T70","position_TF70","position_T60","position_TF60","position_T","position_TF","lag_position_T","lag_position_TF","ZHJE","KCSS","XZZJ","Drawdowns","MAXJZ","MINJZ","ismax","FCKC","position_T_ZS","position_TF_ZS","ZHJE1","KCSS1","XZZJ1","return"
"1",2016-01-14,"T1603.CFE",0.0293,100.445,100.435,"TF1603.CFE",0.027666667,100.92,100.905,16.33,21,18.33,17.099,16.33,16,15.67,15.33,15,13.967,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,-2,NA,NA,0,0,1e+06,0,0,0,0,0,0,0,0,0,1e+06,0,0,0
"2",2016-01-15,"T1603.CFE",0.029,100.645,100.615,"TF1603.CFE",0.027333333,101.05,101.035,16.67,21,18.33,17,16.33,16,15.67,15.33,15,13.967,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,-2,NA,NA,0,0,1e+06,0,1e+06,0,0,0,0,0,0,0,1e+06,0,1e+06,0
"3",2016-01-18,"T1603.CFE",0.0296,100.285,100.235,"TF1603.CFE",0.027966667,100.84,100.795,16.33,21,18.33,17,16.33,16.165,15.67,15.33,15,13.967,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,-2,NA,NA,0,0,1e+06,0,1e+06,0,0,0,0,0,0,0,1e+06,0,1e+06,0
"4",2016-01-19,"T1603.CFE",0.029733333,100.13,100.155,"TF1603.CFE",0.028066667,100.72,100.745,16.67,21,18.33,17,16.33,16.165,15.67,15.33,15,13.967,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,-2,NA,NA,0,0,1e+06,0,1e+06,0,0,0,0,0,0,0,1e+06,0,1e+06,0
"5",2016-01-20,"T1603.CFE",0.0297,100.27,100.185,"TF1603.CFE",0.028,100.82,100.765,17,21,18.066,17,16.33,16.165,15.67,15.33,15,13.967,NA,NA,1,1,NA,NA,NA,NA,1,-2,1,-2,NA,NA,0,0,1e+06,0,1e+06,0,0,0,0,0,0,0,1e+06,0,1e+06,0
"6",2016-01-21,"T1603.CFE",0.0294,100.365,100.385,"TF1603.CFE",0.027733333,100.86,100.875,16.67,21,18,16.769,16.33,16.165,15.67,15.33,15,13.967,NA,NA,1,1,NA,NA,NA,NA,1,-2,1,-2,NA,NA,0,0,1e+06,0,1e+06,0,0,0,0,0,0,0,1e+06,0,1e+06,0
"7",2016-01-22,"T1603.CFE",0.0294,100.42,100.37,"TF1603.CFE",0.0278,100.875,100.845,16,20.703,17.736,16.67,16.33,16,15.67,15.33,15,13.967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,1e+06,0,0,0,0,0,0,0,1e+06,0,1e+06,0
"8",2016-01-25,"T1603.CFE",0.030166667,99.835,99.87,"TF1603.CFE",0.028666667,100.51,100.52,15,20.67,17.67,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,-3,6,0,0,1e+06,0,1e+06,0,0,0,0,0,0,0,1e+06,0,1e+06,0
"9",2016-01-26,"T1603.CFE",0.0301,99.91,99.93,"TF1603.CFE",0.028566667,100.56,100.56,15.33,20.67,17.398,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,-3,6,-3,6,1006000,10,281968.000000003,0,1006000,1006000,0,0,-3,6,1006000,10,281968.000000003,0.00600000000000311
"10",2016-01-27,"T1603.CFE",0.0304,99.77,99.695,"TF1603.CFE",0.028833333,100.49,100.45,15.67,20.364,17.33,16.67,16.33,16,15.67,15.33,15,13.967,0,-1,-1,-1,0,0,-1,2,-1,2,-1,2,-3,6,-3,6,1010500.00000001,10,287260.000000007,0,1010500.00000001,1010500.00000001,0,0,-3,6,1010500.00000001,10,287260.000000007,0.00447316103380158
