date_id,T_name,T_irret,TF_name,TF_irret,FutYHret,X10_5
2015/12/9,T1603.CFE,0.031,TF1603.CFE,0.029433333,15.67,14.76
2015/12/10,T1603.CFE,0.031133333,TF1603.CFE,0.029566667,15.67,18.1
2015/12/11,T1603.CFE,0.030866667,TF1603.CFE,0.029266667,16,17.64
2015/12/14,T1603.CFE,0.031366667,TF1603.CFE,0.0298,15.67,18.02
2015/12/15,T1603.CFE,0.031133333,TF1603.CFE,0.0295,16.33,18.72
2015/12/16,T1603.CFE,0.031033333,TF1603.CFE,0.029366667,16.67,16.35
2015/12/17,T1603.CFE,0.031033333,TF1603.CFE,0.0294,16.33,13.5
2015/12/18,T1603.CFE,0.030533333,TF1603.CFE,0.028466667,20.67,13.43
2015/12/21,T1603.CFE,0.0302,TF1603.CFE,0.027966667,22.33,5.6
2015/12/22,T1603.CFE,0.030166667,TF1603.CFE,0.028066667,21,17.97
2015/12/23,T1603.CFE,0.03,TF1603.CFE,0.0279,21,18.54
2015/12/24,T1603.CFE,0.0296,TF1603.CFE,0.027566667,20.33,15.41
2015/12/25,T1603.CFE,0.0296,TF1603.CFE,0.027833333,17.67,15.21
2015/12/28,T1603.CFE,0.0293,TF1603.CFE,0.027566667,17.33,15.4
2015/12/29,T1603.CFE,0.0296,TF1603.CFE,0.027866667,17.33,13.94
2015/12/30,T1603.CFE,0.0297,TF1603.CFE,0.0279,18,14.18
2015/12/31,T1603.CFE,0.0299,TF1603.CFE,0.0282,17,15.91
2016/1/4,T1603.CFE,0.0301,TF1603.CFE,0.028433333,16.67,14.21
2016/1/5,T1603.CFE,0.0304,TF1603.CFE,0.029,14,12.81
2016/1/6,T1603.CFE,0.03,TF1603.CFE,0.0284,16,15.51
2016/1/7,T1603.CFE,0.0302,TF1603.CFE,0.028566667,16.33,10.27
2016/1/8,T1603.CFE,0.029633333,TF1603.CFE,0.028,16.33,8.84
2016/1/11,T1603.CFE,0.0296,TF1603.CFE,0.027966667,16.33,8.26
2016/1/12,T1603.CFE,0.029,TF1603.CFE,0.027466667,15.33,6.47
2016/1/13,T1603.CFE,0.028733333,TF1603.CFE,0.027166667,15.67,5.5
2016/1/14,T1603.CFE,0.0293,TF1603.CFE,0.027666667,16.33,9.2
2016/1/15,T1603.CFE,0.029,TF1603.CFE,0.027333333,16.67,10.98
2016/1/18,T1603.CFE,0.0296,TF1603.CFE,0.027966667,16.33,17.22
2016/1/19,T1603.CFE,0.029733333,TF1603.CFE,0.028066667,16.67,14.11
2016/1/20,T1603.CFE,0.0297,TF1603.CFE,0.028,17,12.11
2016/1/21,T1603.CFE,0.0294,TF1603.CFE,0.027733333,16.67,9.44
2016/1/22,T1603.CFE,0.0294,TF1603.CFE,0.0278,16,15.67
2016/1/25,T1603.CFE,0.030166667,TF1603.CFE,0.028666667,15,15.93
2016/1/26,T1603.CFE,0.0301,TF1603.CFE,0.028566667,15.33,14.49
