"","date_id","T_name","T_irret","T_close","T_settle","TF_name","TF_irret","TF_close","TF_settle","FutYHret","quan90","quan80","quan70","quan60","quan50","quan40","quan30","quan20","quan10","upDown90","upDown80","upDown70","upDown60","position_T90","position_TF90","position_T80","position_TF80","position_T70","position_TF70","position_T60","position_TF60","position_T","position_TF","lag_position_T","lag_position_TF","ZHJE","KCSS","return"
"1",2016-01-14,"T1603.CFE",0.0293,100.445,100.435,"TF1603.CFE",0.027666667,100.92,100.905,16.33,22.2570351920134,20.8746198283535,19.4922044646936,18.1097891010336,16.7273737373737,15.3449583737138,13.9625430100539,12.580127646394,11.1977122827341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1e+06,0,0
"2",2016-01-15,"T1603.CFE",0.029,100.645,100.615,"TF1603.CFE",0.027333333,101.05,101.035,16.67,22.2407356623399,20.8590113427145,19.4772870230892,18.0955627034638,16.7138383838384,15.332114064213,13.9503897445876,12.5686654249622,11.1869411053368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1e+06,0,0
"3",2016-01-18,"T1603.CFE",0.0296,100.285,100.235,"TF1603.CFE",0.027966667,100.84,100.795,16.33,22.2467816215313,20.8660710646333,19.4853605077353,18.1046499508374,16.7239393939394,15.3432288370414,13.9625182801435,12.5818077232455,11.2010971663475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1e+06,0,0
"4",2016-01-19,"T1603.CFE",0.029733333,100.13,100.155,"TF1603.CFE",0.028066667,100.72,100.745,16.67,22.2304446489443,20.8504344968093,19.4704243446742,18.0904141925391,16.710404040404,15.330393888269,13.9503837361339,12.5703735839988,11.1903634318637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1e+06,0,0
"5",2016-01-20,"T1603.CFE",0.0297,100.27,100.185,"TF1603.CFE",0.028,100.82,100.765,17,22.2038735558684,20.8263142578104,19.4487549597524,18.0711956616944,16.6936363636364,15.3160770655784,13.9385177675204,12.5609584694624,11.1833991714044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0
"6",2016-01-21,"T1603.CFE",0.0294,100.365,100.385,"TF1603.CFE",0.027733333,100.86,100.875,16.67,22.0795796998333,20.7221595223497,19.3647393448661,18.0073191673826,16.649898989899,15.2924788124154,13.9350586349318,12.5776384574483,11.2202182799647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0
"7",2016-01-22,"T1603.CFE",0.0294,100.42,100.37,"TF1603.CFE",0.0278,100.875,100.845,16,21.9635244360806,20.6241837311009,19.2848430261211,17.9455023211414,16.6061616161616,15.2668209111819,13.9274802062021,12.5881395012223,11.2487987962426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0
"8",2016-01-25,"T1603.CFE",0.030166667,99.835,99.87,"TF1603.CFE",0.028666667,100.51,100.52,15,21.7137112861943,20.418313767676,19.1229162491578,17.8275187306395,16.5321212121212,15.2367236936029,13.9413261750847,12.6459286565664,11.3505311380481,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"9",2016-01-26,"T1603.CFE",0.0301,99.91,99.93,"TF1603.CFE",0.028566667,100.56,100.56,15.33,21.3277145893992,20.1035637198272,18.8794128502551,17.6552619806831,16.4311111111111,15.2069602415391,13.9828093719671,12.7586585023951,11.534507632823,0,0,0,-1,0,0,0,0,0,0,-1,2,0,0,0,0,1e+06,0,0
"10",2016-01-27,"T1603.CFE",0.0304,99.77,99.695,"TF1603.CFE",0.028833333,100.49,100.45,15.67,20.9972363719098,19.8338111173162,18.6703858627226,17.506960608129,16.3435353535354,15.1801100989418,14.0166848443482,12.8532595897546,11.689834335161,0,0,0,-1,0,0,0,0,0,0,-1,2,0,0,0,0,1e+06,0,0
"11",2016-01-28,"T1603.CFE",0.030033333,99.965,99.955,"TF1603.CFE",0.0285,100.58,100.57,15.33,20.673867916719,19.5710827557211,18.4682975947232,17.3655124337252,16.2627272727273,15.1599421117293,14.0571569507314,12.9543717897335,11.8515866287355,0,0,0,-1,0,0,0,0,0,0,-1,2,0,0,0,0,1e+06,0,0
"12",2016-01-29,"T1603.CFE",0.029433333,100.365,100.34,"TF1603.CFE",0.027966667,100.79,100.78,14.67,20.4534994508673,19.3889629719889,18.3244264931104,17.259890014232,16.1953535353535,15.1308170564751,14.0662805775966,13.0017440987182,11.9372076198398,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"13",2016-02-01,"T1603.CFE",0.0295,100.34,100.31,"TF1603.CFE",0.028066667,100.76,100.75,14.33,20.3054414838821,19.2627679815984,18.2200944793148,17.1774209770311,16.1347474747475,15.0920739724638,14.0494004701802,13.0067269678965,11.9640534656129,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"14",2016-02-02,"T1603.CFE",0.0301,99.92,99.94,"TF1603.CFE",0.0286,100.54,100.545,15,20.2328805428145,19.1965543465048,18.1602281501951,17.1239019538854,16.0875757575758,15.0512495612661,14.0149233649564,12.9785971686467,11.942270972337,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"15",2016-02-03,"T1603.CFE",0.0299,100.07,100.035,"TF1603.CFE",0.028466667,100.62,100.6,14.33,20.2310524077862,19.1934913260416,18.1559302442971,17.1183691625526,16.0808080808081,15.0432469990636,14.005685917319,12.9681248355745,11.93056375383,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"16",2016-02-04,"T1603.CFE",0.0296,100.25,100.24,"TF1603.CFE",0.028133333,100.735,100.72,14.67,20.2316472111899,19.1905535902106,18.1494599692313,17.108366348252,16.0672727272727,15.0261791062934,13.9850854853141,12.9439918643348,11.9028982433555,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"17",2016-02-05,"T1606.CFE",0.030333333,99.66,99.705,"TF1606.CFE",0.0289,100.405,100.425,14.33,20.2061819344823,19.1647374609627,18.1232929874432,17.0818485139236,16.040404040404,14.9989595668845,13.9575150933649,12.9160706198453,11.8746261463258,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"18",2016-02-15,"T1606.CFE",0.0298,100.185,100.12,"TF1606.CFE",0.028266667,100.69,100.66,15.33,20.1946470610065,19.1501772149468,18.1057073688871,17.0612375228274,16.0167676767677,14.972297830708,13.9278279846483,12.8833581385886,11.8388882925289,0,0,0,-1,0,0,0,0,0,0,-1,2,0,0,0,0,1e+06,0,0
"19",2016-02-16,"T1606.CFE",0.0302,99.77,99.82,"TF1606.CFE",0.028733333,100.47,100.485,14.67,20.1752215314661,19.1313908960743,18.0875602606825,17.0437296252908,15.999898989899,14.9560683545072,13.9122377191154,12.8684070837237,11.8245764483319,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"20",2016-02-17,"T1606.CFE",0.0302,99.78,99.805,"TF1606.CFE",0.0288,100.46,100.465,14,20.1196560787109,19.0804743822655,18.0412926858201,17.0021109893747,15.9629292929293,14.9237475964839,13.8845659000385,12.845384203593,11.8062025071476,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"21",2016-02-18,"T1606.CFE",0.0301,99.89,99.89,"TF1606.CFE",0.028633333,100.53,100.515,14.67,20.1087645735686,19.0655633291664,18.0223620847641,16.9791608403618,15.9359595959596,14.8927583515573,13.8495571071551,12.8063558627528,11.7631546183506,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
"22",2016-02-19,"T1606.CFE",0.0302,99.765,99.8,"TF1606.CFE",0.028733333,100.46,100.475,14.67,20.1060997761475,19.0610394785752,18.015979181003,16.9709188834308,15.9258585858586,14.8807982882864,13.8357379907141,12.7906776931419,11.7456173955697,0,0,0,-1,0,0,0,0,0,0,1,-2,0,0,0,0,1e+06,0,0
