"DateTime","CLOSE","LASTTRADE_DATE","LASTDELIVERY_DATE","TRADE_HISCODE"
2020-09-08,97.9,2020/12/11,2020/12/16,T2012.CFE
2020-09-09,98.27,2020/12/11,2020/12/16,T2012.CFE
2020-09-10,98.34,2020/12/11,2020/12/16,T2012.CFE
2020-09-11,97.86,2020/12/11,2020/12/16,T2012.CFE
2020-09-14,97.7,2020/12/11,2020/12/16,T2012.CFE
2020-09-15,98.035,2020/12/11,2020/12/16,T2012.CFE


数据来源：Wind
