date_id,T_name,T_irret,T_close,T_settle,TF_name,TF_irret,TF_close,TF_settle,FutYHret,quan90,quan80,quan70,quan60,quan50,quan40,quan30,quan20,quan10,position_T90,position_TF90,position_T80,position_TF80,position_T70,position_TF70,position_T60,position_TF60
2016/1/14,T1603.CFE,0.0293,100.445,100.435,TF1603.CFE,0.027666667000000002,100.92,100.905,16.33,21.0,18.33,17.1,16.33,16.0,15.67,15.33,15.0,13.97,0,0,0,0,0,0,1,-2
2016/1/15,T1603.CFE,0.028999999999999998,100.645,100.615,TF1603.CFE,0.027333332999999998,101.05,101.035,16.67,21.0,18.33,17.0,16.33,16.0,15.67,15.33,15.0,13.97,0,0,0,0,0,0,1,-2
2016/1/18,T1603.CFE,0.0296,100.285,100.235,TF1603.CFE,0.027966667,100.84,100.795,16.33,21.0,18.33,17.0,16.33,16.16,15.67,15.33,15.0,13.97,0,0,0,0,0,0,1,-2
2016/1/19,T1603.CFE,0.029733332999999997,100.13,100.155,TF1603.CFE,0.028066667000000003,100.72,100.745,16.67,21.0,18.33,17.0,16.33,16.16,15.67,15.33,15.0,13.97,0,0,0,0,0,0,1,-2
2016/1/20,T1603.CFE,0.0297,100.27,100.185,TF1603.CFE,0.027999999999999997,100.82,100.765,17.0,21.0,18.07,17.0,16.33,16.16,15.67,15.33,15.0,13.97,0,0,0,0,1,-2,1,-2
2016/1/21,T1603.CFE,0.0294,100.365,100.385,TF1603.CFE,0.027733333,100.86,100.875,16.67,21.0,18.0,16.77,16.33,16.16,15.67,15.33,15.0,13.97,0,0,0,0,1,-2,1,-2
2016/1/22,T1603.CFE,0.0294,100.42,100.37,TF1603.CFE,0.0278,100.875,100.845,16.0,20.7,17.74,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,0,0,0,0,0,0
2016/1/25,T1603.CFE,0.030166667,99.835,99.87,TF1603.CFE,0.028666667000000003,100.51,100.52,15.0,20.67,17.67,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2
2016/1/26,T1603.CFE,0.0301,99.91,99.93,TF1603.CFE,0.028566667,100.56,100.56,15.33,20.67,17.4,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2
2016/1/27,T1603.CFE,0.0304,99.77,99.695,TF1603.CFE,0.028833333,100.49,100.45,15.67,20.36,17.33,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2
2016/1/28,T1603.CFE,0.030033333,99.965,99.955,TF1603.CFE,0.0285,100.58,100.57,15.33,20.03,17.33,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2
2016/1/29,T1603.CFE,0.029433333,100.365,100.34,TF1603.CFE,0.027966667,100.79,100.78,14.67,19.4,17.07,16.67,16.33,16.0,15.67,15.33,15.0,13.97,0,0,-1,2,-1,2,-1,2
2016/2/1,T1603.CFE,0.0295,100.34,100.31,TF1603.CFE,0.028066667000000003,100.76,100.75,14.33,19.03,17.0,16.67,16.33,15.84,15.53,15.23,15.0,13.97,0,0,-1,2,-1,2,-1,2
2016/2/2,T1603.CFE,0.0301,99.92,99.94,TF1603.CFE,0.0286,100.54,100.545,15.0,18.43,17.0,16.67,16.33,15.67,15.33,15.0,15.0,13.97,0,0,-1,2,-1,2,-1,2
2016/2/3,T1603.CFE,0.0299,100.07,100.035,TF1603.CFE,0.028466667,100.62,100.6,14.33,18.43,17.0,16.67,16.33,15.67,15.33,15.0,14.93,13.97,0,0,-1,2,-1,2,-1,2
2016/2/4,T1603.CFE,0.0296,100.25,100.24,TF1603.CFE,0.028133332999999996,100.735,100.72,14.67,18.43,17.0,16.67,16.33,15.67,15.33,15.0,14.67,13.97,0,0,-1,2,-1,2,-1,2
2016/2/5,T1606.CFE,0.030333332999999997,99.66,99.705,TF1606.CFE,0.0289,100.405,100.425,14.33,18.43,17.0,16.43,16.33,15.67,15.33,15.0,14.67,13.97,0,0,-1,2,-1,2,-1,2
2016/2/15,T1606.CFE,0.0298,100.185,100.12,TF1606.CFE,0.028266667000000002,100.69,100.66,15.33,18.43,17.0,16.33,16.13,15.67,15.33,15.0,14.67,13.97,0,0,-1,2,-1,2,-1,2
2016/2/16,T1606.CFE,0.0302,99.77,99.82,TF1606.CFE,0.028733333,100.47,100.485,14.67,18.43,16.74,16.33,16.0,15.67,15.33,15.0,14.67,13.97,0,0,-1,2,-1,2,-1,2
2016/2/17,T1606.CFE,0.0302,99.78,99.805,TF1606.CFE,0.0288,100.46,100.465,14.0,18.13,16.67,16.33,16.0,15.67,15.33,15.0,14.67,13.97,0,0,-1,2,-1,2,-1,2
2016/2/18,T1606.CFE,0.0301,99.89,99.89,TF1606.CFE,0.028633332999999997,100.53,100.515,14.67,18.13,16.67,16.33,16.0,15.67,15.33,15.0,14.67,13.97,0,0,-1,2,-1,2,-1,2
2016/2/19,T1606.CFE,0.0302,99.765,99.8,TF1606.CFE,0.028733333,100.46,100.475,14.67,18.13,16.67,16.33,16.0,15.67,15.33,15.0,14.67,13.97,0,0,-1,2,-1,2,-1,2
2016/2/22,T1606.CFE,0.030366667000000003,99.695,99.7,TF1606.CFE,0.028933333,100.39,100.4,14.33,18.13,16.67,16.33,16.0,15.5,15.33,15.0,14.6,13.97,0,0,-1,2,-1,2,-1,2
2016/2/23,T1606.CFE,0.0304,99.605,99.645,TF1606.CFE,0.028999999999999998,100.35,100.38,14.0,18.13,16.67,16.33,16.0,15.33,15.2,15.0,14.33,13.97,0,0,-1,2,-1,2,-1,2
2016/2/24,T1606.CFE,0.0305,99.51,99.6,TF1606.CFE,0.028966667,100.35,100.395,15.33,18.13,16.67,16.33,16.0,15.33,15.2,15.0,14.33,13.97,0,0,-1,2,-1,2,-1,2
2016/2/25,T1606.CFE,0.0307,99.345,99.41,TF1606.CFE,0.0292,100.28,100.315,15.0,18.13,16.67,16.33,16.0,15.33,15.0,15.0,14.33,13.97,0,0,-1,2,-1,2,-1,2
