"","date_id","T_name","T_irret","T_close","T_settle","TF_name","TF_irret","TF_close","TF_settle","FutYHret","X10_5","rsv","K","D","DL","vt","ER","smooth","C","AMA","quan90","quan80","quan70","quan60","quan50","quan40","quan30","quan20","quan10","position_T","position_TF","lag_position_T","lag_position_TF","change_T","change_TF","return","cumret","ZHJE","KCSS"
"1",2015-11-02,"T1512.CFE",0.031433333,98.805,98.84,"TF1512.CFE",0.030166667,99.945,99.93,12.67,11.91,0.555555555555556,0.475838232379052,0.389050636831457,5,13.68,0.365497076023392,0.265784680279935,0.0706414962715072,15.1405257784545,20.067,18.066,16.769,16.466,16.165,15.67,15.33,14.866,13.867,0,0,0,0,NA,NA,0,0,1e+06,0
"2",2015-11-03,"T1512.CFE",0.031666667,98.6,98.635,"TF1512.CFE",0.0305,99.75,99.795,11.67,16.96,0.6,0.500078061072842,0.407446541891932,3.66,12.34,0.296596434359805,0.291085899513776,0.0847310008957443,14.8464646556115,20.067,17.736,16.67,16.33,16,15.67,15.231,14.33,12.67,0,0,0,0,-0.204999999999998,-0.135000000000005,0,0,1e+06,0
"3",2015-11-04,"T1512.CFE",0.0321,98.355,98.31,"TF1512.CFE",0.0309,99.625,99.61,12,15.8,0.6,0.516531776848592,0.425803190107557,2.33,11.67,0.199657240788346,0.326683242726902,0.106721941078564,14.5426844223531,20.067,17.736,16.67,16.33,15.835,15.534,15,14.264,12.67,0,0,0,0,-0.325000000000003,-0.185000000000002,0,0,1e+06,0
"4",2015-11-05,"T1512.CFE",0.031733333,98.665,98.61,"TF1512.CFE",0.0304,99.89,99.84,13.33,20,0.6,0.531027689655132,0.444189292674555,3.34,10.66,0.313320825515948,0.284944483744964,0.0811933588166838,14.4442225009176,20.067,17.736,16.67,16.33,15.835,15.33,14.799,13.866,12.67,0,0,0,0,0.299999999999997,0.230000000000004,0,0,1e+06,0
"5",2015-11-06,"T1512.CFE",0.032166667,98.255,98.245,"TF1512.CFE",0.0308,99.655,99.655,13.67,18.13,0.6,0.545523602461671,0.462604849592927,2.33,10.33,0.225556631171346,0.317172646914129,0.100598487950515,14.366336887988,20.067,17.736,16.67,16.132,15.67,15.198,14.33,13.602,12.67,0,0,0,0,-0.364999999999995,-0.185000000000002,0,0,1e+06,0
"6",2015-11-09,"T1512.CFE",0.033233333,97.29,97.39,"TF1512.CFE",0.031933333,99.085,99.125,13,13.53,0.6,0.560019515268211,0.481049860862673,5,9,0.555555555555556,0.195992714025501,0.0384131439510818,14.3138515924241,20.067,17.736,16.67,16,15.5,15,14.231,13.264,12.67,0,0,0,0,-0.855000000000004,-0.530000000000001,0,0,1e+06,0
"7",2015-11-10,"T1512.CFE",0.033,97.66,97.61,"TF1512.CFE",0.0315,99.32,99.31,15,16.99,0.6,0.57451542807475,0.499524326483791,1,7,0.142857142857143,0.347540983606557,0.120784735286213,14.3967278462002,20.067,17.736,16.67,16,15.5,15,14.231,13.264,12.67,0,0,0,0,0.219999999999999,0.185000000000002,0,0,1e+06,0
"8",2015-11-11,"T1512.CFE",0.0324,98.175,98.075,"TF1512.CFE",0.0309,99.65,99.59,15,15.06,0.6,0.586666666666667,0.517559311613359,2.33,5.67,0.410934744268078,0.24909937259664,0.0620504974280399,14.434161183428,20.067,17.736,16.67,16,15.165,15,14.231,13.264,12.67,0,0,0,0,0.465000000000003,0.280000000000001,0,0,1e+06,0
"9",2015-11-12,"T1512.CFE",0.0324,98.085,98.07,"TF1512.CFE",0.0308,99.645,99.625,16,14.62,0.6,0.591111111111111,0.533613457421882,3.33,6.67,0.499250374812594,0.216668714822916,0.0469453319830143,14.5076700065038,20.067,17.736,16.432,16,15.165,15,14.231,13.264,12.67,0,0,0,0,-0.00500000000000966,0.0349999999999966,0,0,1e+06,0
"10",2015-11-13,"T1512.CFE",0.0325,97.94,97.97,"TF1512.CFE",0.031,99.51,99.535,15,16.71,0.6,0.595555555555556,0.547686763909358,2.33,7.67,0.303780964797914,0.288447645713553,0.0832020443176913,14.5486328684416,20.067,17.736,16.099,15.802,15,15,14.231,13.264,12.67,0,0,0,0,-0.0999999999999943,-0.0900000000000034,0,0,1e+06,0
"11",2015-11-16,"T1512.CFE",0.0322,98.34,98.23,"TF1512.CFE",0.0308,99.71,99.625,14,16.14,0.6,0.6,0.560102940671453,2.33,7.67,0.303780964797914,0.288447645713553,0.0832020443176913,14.5029854922074,20.067,17.736,16,15.466,15,14.732,14,13.264,12.67,0,0,0,0,0.260000000000005,0.0900000000000034,0,0,1e+06,0
"12",2015-11-17,"T1512.CFE",0.031966667,98.52,98.425,"TF1512.CFE",0.0306,99.795,99.74,13.67,15.61,0.6,0.6,0.570095134564169,1.67,7.67,0.217731421121252,0.320046166670229,0.102429548800308,14.4176631640834,20.067,17.736,16,15.466,15,14.33,13.901,13.264,12.67,0,0,0,0,0.194999999999993,0.114999999999995,0,0,1e+06,0
"13",2015-11-18,"T1603.CFE",0.032833333,97.625,97.685,"TF1603.CFE",0.0315,99.31,99.325,13.33,14.72,0.6,0.6,0.57844195687931,0,6.68,0,0.4,0.16,14.24363705783,20.067,17.736,16,15.466,15,14.198,13.67,13.264,12.67,0,0,0,0,-0.739999999999995,-0.414999999999992,0,0,1e+06,0
"14",2015-11-19,"T1603.CFE",0.0328,97.705,97.735,"TF1603.CFE",0.0313,99.37,99.415,15,16.05,0.6,0.6,0.585339187913797,1.33,8.01,0.166042446941323,0.339027035877285,0.114939331055738,14.3305729084384,20.067,17.736,16,15.466,15,14.198,13.67,13.264,12.67,0,0,0,0,0.0499999999999972,0.0900000000000034,0,0,1e+06,0
"15",2015-11-20,"T1603.CFE",0.032233333,98.235,98.17,"TF1603.CFE",0.030733333,99.7,99.665,15,15.69,0.6,0.6,0.590786827667629,2,7.34,0.272479564032698,0.299941930584714,0.0899651617228856,14.3907980249924,19.464,16.87,16,15.132,15,14.198,13.67,13.264,12.67,0,0,0,0,0.435000000000002,0.25,0,0,1e+06,0
"16",2015-11-23,"T1603.CFE",0.0325,98.045,97.93,"TF1603.CFE",0.030966667,99.64,99.55,15.33,14.46,0.6,0.6,0.594784876140808,0.33,5.67,0.0582010582010582,0.378627808136005,0.143359017093875,14.5254410969821,18.133,16.134,15.769,15.132,15,14.198,13.67,13.264,12.67,0,0,0,0,-0.239999999999995,-0.115000000000009,0,0,1e+06,0
"17",2015-11-24,"T1603.CFE",0.0319,98.51,98.43,"TF1603.CFE",0.030366667,99.88,99.83,15.33,13.08,0.666666666666667,0.606666666666667,0.598,0.33,5.67,0.0582010582010582,0.378627808136005,0.143359017093875,14.6407818705129,17.703,16,15.432,15.132,15,14.198,13.67,13.264,12.67,0,0,0,0,0.5,0.280000000000001,0,0,1e+06,0
"18",2015-11-25,"T1603.CFE",0.031766667,98.59,98.55,"TF1603.CFE",0.030266667,99.88,99.86,15,14.93,0.783289817232376,0.624995648389904,0.601832898172324,1,5,0.2,0.32655737704918,0.106639720505241,14.6790887914418,16.77,16,15.33,15,15,14.198,13.67,13.264,12.67,0,0,0,0,0.11999999999999,0.0300000000000011,0,0,1e+06,0
"19",2015-11-26,"T1603.CFE",0.031333333,98.94,98.93,"TF1603.CFE",0.0298,100.065,100.075,15.33,11.3,0.947867298578199,0.659782378247724,0.608700024885985,0.33,4.33,0.0762124711316397,0.372013781092644,0.138394253322845,14.7691711621297,16.067,15.736,15.33,15,15,14.198,13.67,13.264,12.67,0,0,0,0,0.38000000000001,0.215000000000003,0,0,1e+06,0
