,date_id,T_name,T_irret,TF_name,TF_irret,FutYHret10_2
837,2018/8/17,T1812.CFE,0.037066667,TS1812.CFE,0.034566667,25.00 
838,2018/8/20,T1812.CFE,0.0369,TS1812.CFE,0.034166667,27.33 
839,2018/8/21,T1812.CFE,0.0368,TS1812.CFE,0.034266667,25.33 
840,2018/8/22,T1812.CFE,0.0367,TS1812.CFE,0.034266667,24.33 
841,2018/8/23,T1812.CFE,0.0367,TS1812.CFE,0.033966667,27.33 
842,2018/8/24,T1812.CFE,0.0368,TS1812.CFE,0.033566667,32.33 
843,2018/8/27,T1812.CFE,0.0368,TS1812.CFE,0.033866667,29.33 
844,2018/8/28,T1812.CFE,0.0366,TS1812.CFE,0.033766667,28.33 
845,2018/8/29,T1812.CFE,0.036533333,TS1812.CFE,0.033666667,28.67 
846,2018/8/30,T1812.CFE,0.036266667,TS1812.CFE,0.033466667,28.00 
847,2018/8/31,T1812.CFE,0.036166667,TS1812.CFE,0.033233333,29.33 
848,2018/9/3,T1812.CFE,0.0364,TS1812.CFE,0.033633333,27.67 
849,2018/9/4,T1812.CFE,0.0366,TS1812.CFE,0.033866667,27.33 
850,2018/9/5,T1812.CFE,0.0366,TS1812.CFE,0.033833333,27.67 
851,2018/9/6,T1812.CFE,0.0366,TS1812.CFE,0.033833333,27.67 
852,2018/9/7,T1812.CFE,0.0368,TS1812.CFE,0.033866667,29.33 
853,2018/9/10,T1812.CFE,0.037,TS1812.CFE,0.034066667,29.33 
854,2018/9/11,T1812.CFE,0.0374,TS1812.CFE,0.0341,33.00 
855,2018/9/12,T1812.CFE,0.037166667,TS1812.CFE,0.034066667,31.00 
856,2018/9/13,T1812.CFE,0.0371,TS1812.CFE,0.033833333,32.67 
857,2018/9/14,T1812.CFE,0.037,TS1812.CFE,0.033733333,32.67 
858,2018/9/17,T1812.CFE,0.0369,TS1812.CFE,0.033533333,33.67 
859,2018/9/18,T1812.CFE,0.0371,TS1812.CFE,0.033466667,36.33 
860,2018/9/19,T1812.CFE,0.037266667,TS1812.CFE,0.033633333,36.33 
861,2018/9/20,T1812.CFE,0.0376,TS1812.CFE,0.033833333,37.67 
862,2018/9/21,T1812.CFE,0.0374,TS1812.CFE,0.033733333,36.67 
863,2018/9/25,T1812.CFE,0.0373,TS1812.CFE,0.033766667,35.33 
864,2018/9/26,T1812.CFE,0.037,TS1812.CFE,0.033533333,34.67 
865,2018/9/27,T1812.CFE,0.0367,TS1812.CFE,0.033233333,34.67 
866,2018/9/28,T1812.CFE,0.0365,TS1812.CFE,0.033233333,32.67 
867,2018/10/8,T1812.CFE,0.0367,TS1812.CFE,0.033233333,34.67 
868,2018/10/9,T1812.CFE,0.0366,TS1812.CFE,0.0329,37.00 
869,2018/10/10,T1812.CFE,0.0366,TS1812.CFE,0.033,36.00 
870,2018/10/11,T1812.CFE,0.0361,TS1812.CFE,0.0326,35.00 
871,2018/10/12,T1812.CFE,0.036166667,TS1812.CFE,0.0326,35.67 
872,2018/10/15,T1812.CFE,0.0362,TS1812.CFE,0.0326,36.00 
873,2018/10/16,T1812.CFE,0.036066667,TS1812.CFE,0.0326,34.67 
874,2018/10/17,T1812.CFE,0.0361,TS1812.CFE,0.0326,35.00 
875,2018/10/18,T1812.CFE,0.0357,TS1812.CFE,0.0324,33.00 
876,2018/10/19,T1812.CFE,0.035966667,TS1812.CFE,0.0327,32.67 
877,2018/10/22,T1812.CFE,0.0361,TS1812.CFE,0.033,31.00 
